Complexity,Loss,Equation
1,5.683497331107685e7,"40189.138709136016"
3,4.822472222851051e7,"x1 + 38550.55052224706"
4,9.433534291803984e6,"log(x1) * 5645.528534728412"
6,4.532526543772813e6,"(log(x1) * 8108.711750894232) + -17927.457224233316"
8,4.116910204187439e6,"(-25310.079494386602 + (log(x1) * 9348.62666071775)) - x1"
10,3.3977675084273308e6,"(log(x1) * ((x1 * -0.3305013057306127) + 10153.219573156328)) - 28496.240001677197"
21,737727.4824871377,"((((sqrt(x1 * 47089.85857500736) - (x1 * 83.7353436884383)) - (sqrt(x1 * 17396.759414069023) * -53.303812463177856)) * 0.28763371355102163) + -2775.029685823351) + x1"
